"decision","company","name","email","category","role","website","notes"
"No","Recovery Centers of America","","","Treatment center","Business development / marketing","https://recoverycentersofamerica.com","Large regional treatment provider; pitch as family-intent audience and trackable sponsor placement."
"No","Avenues Recovery Center","","","Treatment center","Marketing / partnerships","https://www.avenuesrecovery.com","Multi-state treatment network; good prospect for episode sponsor or monthly site sponsor."
"No","Sierra Tucson","","","Treatment center","Marketing / partnerships","https://www.sierratucson.com","Premium treatment brand; possible fit for bundle sponsor if audience and ethics align."
"No","Newport Healthcare","","","Treatment center","Marketing / partnerships","https://www.newporthealthcare.com","Adolescent and young adult behavioral health provider; pitch family-support audience."
"No","Bradford Health Services","","","Treatment center","Marketing / partnerships","https://bradfordhealth.com","Southeast addiction treatment provider; pitch episode sponsorship tied to family support."
"No","Banyan Treatment Centers","","","Treatment center","Marketing / partnerships","https://www.banyantreatmentcenter.com","Multi-location addiction treatment provider; pitch trackable sponsor inventory."
"No","FHE Health","","","Treatment center","Marketing / partnerships","https://fherehab.com","Florida behavioral health and addiction provider; possible episode sponsor."
"No","Zinnia Health","","","Treatment center","Marketing / partnerships","https://zinniahealth.com","Multi-location behavioral health provider; pitch family-intent content and reporting."
"No","Bicycle Health","","","Treatment center","Marketing / partnerships","https://www.bicyclehealth.com","Telehealth opioid use disorder treatment; potential education-aligned sponsor."
"No","Sober Living Network","","","Sober living","Partnerships / outreach","https://soberhousing.net","Recovery housing network; potential strategic partner or resource-page sponsor."
"No","SMART Recovery","","","Intervention / family service","Partnerships / outreach","https://smartrecovery.org","Non-12-step recovery support organization; likely partnership/resource fit."
